target_id,Cluster
TMUE_1000003636.3,C0
TMUE_1000003642.1,C0
TMUE_1000003645.1,C0
TMUE_1000003655.1,C0
TMUE_1000003660.1,C0
TMUE_1000003673.1,C0
TMUE_1000003676.1,C0
TMUE_1000003677.3,C0
TMUE_1000003678.1,C0
TMUE_1000003688.2,C0
TMUE_1000003690.2,C0
TMUE_1000003699.1,C0
TMUE_1000003700.1,C0
TMUE_1000003702.1,C0
TMUE_1000003703.1,C0
TMUE_1000003708.1,C0
TMUE_1000003709.1,C0
TMUE_1000003714.1,C0
TMUE_1000003717.1,C0
TMUE_1000003718.1,C0
TMUE_1000003719.1,C0
TMUE_1000003724.1,C0
TMUE_1000003725.1,C0
TMUE_1000003727.1,C0
TMUE_1000003727.3,C0
TMUE_1000003735.1,C0
TMUE_1000003743.1,C0
TMUE_1000003751.1,C0
TMUE_1000003753.1,C0
TMUE_1000003759.1,C0
TMUE_1000003760.1,C0
TMUE_1000003765.1,C0
TMUE_1000003765.2,C0
TMUE_1000003772.1,C0
TMUE_1000003773.1,C0
TMUE_1000003774.1,C0
TMUE_1000003776.1,C0
TMUE_1000003782.1,C0
TMUE_1000003784.1,C0
TMUE_1000003788.1,C0
TMUE_1000003792.1,C0
TMUE_1000003793.1,C0
TMUE_1000003793.2,C0
TMUE_1000003794.1,C0
TMUE_1000003805.1,C0
TMUE_1000003808.2,C0
TMUE_1000003814.6,C0
TMUE_1000003819.1,C0
TMUE_1000003822.1,C0
TMUE_1000003824.1,C0
TMUE_1000003824.3,C0
TMUE_1000003837.1,C0
TMUE_1000003838.1,C0
TMUE_1000003845.1,C0
TMUE_1000003850.2,C0
TMUE_1000003853.1,C0
TMUE_1000003861.1,C0
TMUE_1000003863.1,C0
TMUE_1000003864.1,C0
TMUE_1000003875.1,C0
TMUE_1000003884.1,C0
TMUE_1000003886.1,C0
TMUE_1000003887.1,C0
TMUE_1000003889.1,C0
TMUE_1000003894.4,C0
TMUE_1000003898.1,C0
TMUE_1000003905.1,C0
TMUE_1000003911.1,C0
TMUE_1000003915.1,C0
TMUE_1000003921.1,C0
TMUE_1000003926.1,C0
TMUE_1000003928.1,C0
TMUE_1000003931.1,C0
TMUE_1000003943.1,C0
TMUE_1000003947.1,C0
TMUE_1000003951.1,C0
TMUE_1000003965.1,C0
TMUE_1000003970.1,C0
TMUE_1000003971.1,C0
TMUE_1000003974.1,C0
TMUE_1000003978.1,C0
TMUE_1000003979.1,C0
TMUE_1000003984.1,C0
TMUE_1000003989.1,C0
TMUE_1000003991.1,C0
TMUE_1000003992.2,C0
TMUE_1000003999.1,C0
TMUE_1000004008.1,C0
TMUE_1000004009.2,C0
TMUE_1000004011.1,C0
TMUE_1000004029.1,C0
TMUE_1000004029.5,C0
TMUE_1000004032.1,C0
TMUE_1000004032.2,C0
TMUE_1000004037.4,C0
TMUE_1000004037.6,C0
TMUE_1000004040.1,C0
TMUE_1000004042.1,C0
TMUE_1000004047.2,C0
TMUE_1000004049.1,C0
TMUE_1000004052.1,C0
TMUE_1000004052.3,C0
TMUE_1000004052.6,C0
TMUE_1000004060.1,C0
TMUE_1000004063.1,C0
TMUE_1000004064.1,C0
TMUE_1000004066.5,C0
TMUE_1000004067.1,C0
TMUE_1000004068.1,C0
TMUE_1000004072.1,C0
TMUE_1000004077.1,C0
TMUE_1000004083.1,C0
TMUE_1000004089.1,C0
TMUE_1000004092.1,C0
TMUE_1000004098.1,C0
TMUE_1000004099.1,C0
TMUE_1000004107.1,C0
TMUE_1000004107.3,C0
TMUE_1000004108.1,C0
TMUE_1000004112.1,C0
TMUE_1000004112.2,C0
TMUE_1000004112.4,C0
TMUE_1000004112.5,C0
TMUE_1000004115.1,C0
TMUE_1000004118.4,C0
TMUE_1000004118.5,C0
TMUE_1000004122.2,C0
TMUE_1000004127.1,C0
TMUE_1000004133.1,C0
TMUE_1000004137.1,C0
TMUE_1000004150.1,C0
TMUE_1000004152.1,C0
TMUE_1000004156.3,C0
TMUE_1000004160.1,C0
TMUE_1000004161.1,C0
TMUE_1000004181.1,C0
TMUE_1000004182.1,C0
TMUE_1000004183.1,C0
TMUE_1000004184.1,C0
TMUE_1000004184.2,C0
TMUE_1000004193.1,C0
TMUE_1000004194.1,C0
TMUE_1000004197.1,C0
TMUE_1000004199.1,C0
TMUE_1000004201.1,C0
TMUE_1000004202.1,C0
TMUE_1000004206.2,C0
TMUE_1000004210.1,C0
TMUE_1000004213.1,C0
TMUE_1000004217.1,C0
TMUE_1000004220.1,C0
TMUE_1000004230.1,C0
TMUE_1000004236.1,C0
TMUE_1000004241.1,C0
TMUE_1000004243.1,C0
TMUE_1000004248.1,C0
TMUE_1000004248.2,C0
TMUE_1000004248.3,C0
TMUE_1000004249.1,C0
TMUE_1000004253.1,C0
TMUE_1000004258.2,C0
TMUE_1000004274.1,C0
TMUE_1000004281.1,C0
TMUE_1000004282.1,C0
TMUE_1000004284.1,C0
TMUE_1000004288.1,C0
TMUE_1000004289.1,C0
TMUE_1000004292.1,C0
TMUE_1000004295.3,C0
TMUE_1000004295.4,C0
TMUE_1000004299.1,C0
TMUE_1000004301.1,C0
TMUE_1000004303.1,C0
TMUE_1000004307.1,C0
TMUE_1000004317.1,C0
TMUE_1000004325.1,C0
TMUE_1000004331.1,C0
TMUE_1000004337.3,C0
TMUE_1000004337.4,C0
TMUE_1000004338.1,C0
TMUE_1000004350.1,C0
TMUE_1000004360.1,C0
TMUE_1000004363.1,C0
TMUE_1000004366.1,C0
TMUE_1000004370.1,C0
TMUE_1000004386.1,C0
TMUE_1000004391.1,C0
TMUE_1000004398.1,C0
TMUE_1000004399.1,C0
TMUE_1000004414.1,C0
TMUE_1000004429.1,C0
TMUE_1000004432.1,C0
TMUE_1000004433.1,C0
TMUE_1000004449.1,C0
TMUE_1000004456.1,C0
TMUE_1000004466.1,C0
TMUE_1000004469.1,C0
TMUE_1000004470.1,C0
TMUE_1000004475.1,C0
TMUE_1000004476.1,C0
TMUE_1000004511.1,C0
TMUE_1000004525.1,C0
TMUE_1000004544.3,C0
TMUE_1000004550.1,C0
TMUE_1000004562.1,C0
TMUE_1000004574.1,C0
TMUE_1000004579.1,C0
TMUE_1000004581.1,C0
TMUE_1000004583.1,C0
TMUE_1000004583.2,C0
TMUE_1000004597.3,C0
TMUE_1000004599.1,C0
TMUE_1000004600.1,C0
TMUE_1000004604.1,C0
TMUE_1000004621.1,C0
TMUE_1000004632.1,C0
TMUE_1000004638.1,C0
TMUE_1000004641.1,C0
TMUE_1000004646.1,C0
TMUE_1000004649.1,C0
TMUE_1000004651.1,C0
TMUE_1000004655.1,C0
TMUE_1000004660.1,C0
TMUE_1000004680.1,C0
TMUE_1000004681.1,C0
TMUE_1000004682.3,C0
TMUE_1000004699.1,C0
TMUE_1000004702.1,C0
TMUE_1000004709.1,C0
TMUE_1000004737.1,C0
TMUE_1000004741.1,C0
TMUE_1000004746.1,C0
TMUE_1000004749.1,C0
TMUE_1000004758.1,C0
TMUE_1000004787.1,C0
TMUE_1000004788.1,C0
TMUE_1000004790.1,C0
TMUE_1000004794.2,C0
TMUE_1000004797.1,C0
TMUE_1000004800.1,C0
TMUE_1000004801.1,C0
TMUE_1000004804.1,C0
TMUE_1000004805.2,C0
TMUE_1000004813.1,C0
TMUE_1000004814.1,C0
TMUE_1000004816.1,C0
TMUE_1000004817.1,C0
TMUE_1000004825.1,C0
TMUE_1000004830.1,C0
TMUE_1000004836.1,C0
TMUE_1000004839.1,C0
TMUE_1000004841.4,C0
TMUE_1000004852.1,C0
TMUE_1000004854.1,C0
TMUE_1000004858.1,C0
TMUE_1000004860.1,C0
TMUE_1000004862.1,C0
TMUE_1000004879.1,C0
TMUE_1000004889.1,C0
TMUE_1000004890.1,C0
TMUE_1000004915.1,C0
TMUE_1000004922.1,C0
TMUE_1000004929.1,C0
TMUE_1000004931.1,C0
