,L1_Unhatched_2,L1_Unhatched_3,L1_Unhatched_4,L1_Unhatched_5,L1_Unhatched_6,L1_Hatched_1,L1_Hatched_2,L1_Hatched_3,L1_3hr_2,L1_3hr_3,L1_3hr_4,L1_3hr_6,L1_24hr_1,L1_24hr_2,L1_24hr_3,L1_24hr_4,L1_24hr_5,L1_24hr_6,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6
TMUE_3000011498.1,2,6,2,3,2,1,0,3,0,1,0,0,0,0,2,1,0,1,1,0,2,9,8,0
TMUE_3000011499.1,150,92,294,165,177,62,7,110,12,22,82,7,33,15,41,56,7,57,324,178,43,103,137,58
TMUE_3000011499.2,30,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_3000011499.3,56,74,1,39,0,28,0,0,0,3,0,9,24,34,11,0,2,8,161,76,0,0,25,0
TMUE_3000011500.1,60,29,26,50,14,12,1,32,1,0,17,0,8,4,2,3,0,3,21,11,0,20,4,1
TMUE_3000011501.1,3237,3079,1485,5054,1311,1406,25,2085,166,389,759,231,201,394,374,209,70,341,1468,2960,21,2921,1043,41
TMUE_3000011502.1,161,60,91,113,65,36,7,37,0,6,26,3,0,12,20,12,2,18,45,33,15,24,63,22
TMUE_3000011503.1,597,228,1292,291,171,150,58,118,52,50,54,19,42,81,90,46,27,89,126,137,431,124,195,473
TMUE_3000011504.1,108,54,181,53,41,39,3,35,2,17,5,12,3,10,6,0,5,10,14,19,38,27,59,36
TMUE_3000011505.1,0,2,5,0,1,0,0,1,0,0,1,0,1,6,2,1,0,0,2,3,4,1,2,2
TMUE_3000011506.1,305,399,449,273,207,125,21,337,62,54,89,6,32,45,85,56,19,34,165,131,85,74,77,46
TMUE_3000011507.1,668,343,995,314,234,111,53,81,43,45,39,17,13,89,79,29,19,65,236,204,459,146,330,396
TMUE_3000011508.1,1,0,55,0,0,0,4,0,0,0,0,2,0,4,0,8,0,2,1,0,14,2,2,13
TMUE_3000011509.1,1212,855,853,204,343,385,60,32,32,189,182,28,18,234,191,26,11,163,26,94,217,151,371,176
TMUE_3000011509.2,43,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7
TMUE_3000011509.3,365,428,120,325,448,72,2,230,9,8,12,7,4,21,14,4,0,23,67,152,108,70,141,35
TMUE_3000011510.1,0,0,24,11,5,0,1,0,2,7,9,0,0,0,0,0,0,0,4,5,0,4,0,3
TMUE_3000011511.1,630,273,241,285,180,165,12,153,44,37,99,24,35,118,82,54,14,77,6500,2649,147,795,1826,209
TMUE_3000011512.1,383,101,186,237,43,84,4,24,6,22,55,0,25,306,237,8,16,226,23,167,41,115,106,49
TMUE_3000011513.1,67,19,43,50,24,23,1,8,26,134,125,27,32,239,244,20,35,264,5,30,8,106,36,11
TMUE_3000011514.1,115,84,203,65,40,41,12,16,11,3,22,1,0,15,40,0,0,14,35,42,54,71,78,47
TMUE_3000011515.1,50,14,43,35,33,19,2,7,0,0,0,0,4,2,1,0,1,1,10,11,37,5,7,13
TMUE_3000011516.1,646,399,372,370,191,201,43,98,56,98,86,14,27,149,175,28,24,102,82,150,105,168,258,45
TMUE_3000011517.1,18,4,39,4,3,21,0,1,0,2,6,0,34,213,266,11,17,156,7,4,20,17,27,17
TMUE_3000011518.1,35,24,15,10,6,1,11,3,0,1,3,1,0,4,9,1,0,33,9,17,140,16,47,145
TMUE_3000011519.1,19,92,88,6,23,1,39,1,0,3,1,1,0,5,14,0,0,19,0,5,392,13,14,132
TMUE_3000011520.1,46,35,303,27,10,7,6,9,0,1,1,19,2,4,6,5,7,4,637,410,718,174,703,876
TMUE_3000011521.1,55,26,100,57,40,1,1,24,10,21,22,8,20,30,27,11,7,10,339,296,23,207,175,33
TMUE_3000011522.1,249,237,177,301,127,79,4,159,17,52,67,9,108,348,243,52,49,258,198,536,222,629,303,319
TMUE_3000011523.1,25,36,61,135,97,24,0,63,5,15,11,13,9,29,11,16,5,22,91,125,18,50,64,6
TMUE_3000011524.1,753,536,493,922,503,265,28,458,59,107,216,53,35,178,195,93,27,165,344,369,78,331,454,94
TMUE_3000011525.1,284,73,252,301,28,55,36,32,6,4,14,0,19,58,31,6,5,33,50,64,57,103,129,47
TMUE_3000011526.1,36,26,139,50,0,27,0,30,34,5,72,6,0,0,0,0,0,0,43,0,23,11,0,19
TMUE_3000011526.2,1016,530,475,728,342,208,30,464,77,109,147,36,59,144,194,38,24,119,351,359,103,258,313,115
TMUE_3000011527.1,4475,2995,5045,4124,3056,1493,168,2764,421,619,617,146,235,704,779,351,143,672,2245,2081,932,1269,1349,1116
TMUE_3000011528.1,21,18,50,10,28,3,0,6,0,15,0,0,2,1,0,1,1,6,0,2,20,2,2,3
TMUE_3000011529.1,746,425,379,624,275,182,26,270,35,157,203,65,18,190,182,50,23,137,128,203,51,234,281,37
TMUE_3000011530.1,18,3,45,15,5,0,1,3,0,2,2,2,0,3,1,5,0,3,18,9,50,17,10,13
TMUE_3000011531.1,296,149,123,257,150,86,7,129,59,131,189,45,154,309,299,155,54,233,731,672,35,651,569,27
TMUE_3000011532.1,164,112,88,344,154,50,5,85,12,36,71,9,66,185,152,85,17,159,397,721,44,569,382,82
TMUE_3000011533.1,45,7,28,29,8,19,2,10,0,6,9,2,0,6,6,4,2,2,10,19,2,18,36,11
TMUE_3000011534.1,216,132,107,229,102,61,1,177,26,104,89,33,10,64,39,34,3,55,189,134,7,148,71,7
TMUE_3000011535.1,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TMUE_3000011536.1,109,17,280,116,61,19,2,34,14,15,16,2,0,1,7,1,0,13,19,15,4,17,16,5
TMUE_3000011537.1,189,89,119,98,32,27,6,26,23,36,24,15,14,40,23,1,8,26,31,18,7,21,23,24
TMUE_3000011538.1,139,155,232,145,56,41,10,99,61,90,129,35,55,82,105,64,33,132,937,496,174,335,382,107
TMUE_3000011539.1,200,126,169,239,37,33,23,30,0,3,5,2,0,12,8,0,2,6,100,99,91,77,94,105
TMUE_3000011540.1,164,60,199,79,30,19,7,44,0,22,16,2,20,24,66,16,10,45,194,149,73,71,145,56
TMUE_3000011541.1,92,78,320,80,61,29,10,25,10,15,16,7,16,37,2,1,1,8,15,17,23,8,10,21
TMUE_3000011542.1,23,15,19,54,48,19,0,13,0,0,4,3,4,3,1,1,0,3,32,28,5,39,25,3
TMUE_3000011543.1,57,10,70,74,14,15,4,8,0,5,15,0,0,0,12,0,0,3,220,116,26,99,121,18
TMUE_3000011544.1,1660,807,474,732,321,284,12,303,57,96,118,8,22,139,177,35,9,91,170,145,83,120,247,61
TMUE_3000011545.1,8,7,8,6,4,2,0,2,0,9,21,1,6,7,9,6,3,9,100,126,49,161,59,59
TMUE_3000011546.1,211,179,714,159,107,68,45,139,35,38,37,15,28,51,36,14,10,34,100,89,106,52,86,94
TMUE_3000011546.2,754,230,274,505,148,276,0,314,55,53,174,20,39,107,104,51,12,117,302,171,41,119,97,9
TMUE_3000011547.1,1803,1706,1377,1846,1078,760,39,1655,254,293,292,86,42,87,123,46,17,104,395,356,77,189,259,54
TMUE_3000011548.1,4,3,59,4,0,4,0,0,0,0,5,1,0,3,0,1,0,3,0,5,40,3,2,21
TMUE_3000011549.1,925,359,596,945,233,237,14,224,72,51,176,30,53,216,235,34,49,140,302,295,123,334,152,163
TMUE_3000011550.1,1698,636,812,1090,426,650,15,786,202,232,669,79,184,306,264,210,60,269,8102,5154,233,3695,2875,286
TMUE_3000011551.1,95,135,642,213,169,46,64,11,17,41,31,2,18,78,76,18,14,55,102,97,404,140,133,255
TMUE_3000011552.1,0,0,24,2,0,0,0,1,3,0,0,0,1,9,6,0,2,3,24,167,335,122,291,172
TMUE_3000011553.1,25,21,180,57,41,24,33,2,37,10,7,1,2,16,16,2,2,12,21,65,146,57,76,140
TMUE_3000011554.1,120,86,196,122,90,47,11,86,19,4,30,13,6,17,30,19,0,38,211,185,220,190,111,207
TMUE_3000011554.2,741,383,207,647,314,222,2,530,46,156,225,64,71,149,194,89,35,96,1739,1235,8,830,694,22
TMUE_3000011555.1,828,694,383,678,454,209,7,337,50,123,176,40,63,274,261,60,32,201,211,334,28,306,295,28
TMUE_3000011556.1,628,365,283,294,222,118,6,100,43,16,40,9,50,77,172,26,8,77,277,245,44,162,257,33
TMUE_3000011557.1,227,104,104,64,10,41,27,7,0,9,20,4,9,18,19,5,8,14,8,19,19,21,23,11
TMUE_3000011558.1,59,55,45,18,20,3,2,1,0,9,9,2,4,18,19,5,5,11,18,21,4,32,41,13
TMUE_3000011559.1,395,179,286,194,132,81,8,166,54,40,21,1,19,58,75,20,10,45,271,226,55,125,199,42
TMUE_3000011560.1,339,235,1832,201,112,103,61,94,55,82,72,12,36,47,70,48,36,98,80,57,296,55,57,289
TMUE_3000011561.1,1470,869,1710,492,554,454,140,263,161,113,78,33,29,81,78,18,26,63,64,112,328,99,151,248
TMUE_3000011562.1,4,2,27,22,20,3,0,6,5,4,19,2,3,12,2,4,0,3,11,7,0,1,6,5
TMUE_3000011563.1,1669,772,1017,532,371,400,80,95,121,215,185,14,14,347,334,35,32,297,46,223,425,265,599,242
TMUE_3000011564.1,280,254,122,231,96,93,7,69,8,53,31,2,33,102,130,15,25,105,80,71,44,109,125,29
TMUE_3000011565.1,132,118,58,81,97,29,5,37,1,12,12,0,1,32,23,3,5,42,22,20,7,21,33,9
TMUE_3000011566.1,144,47,31,86,29,15,0,32,13,5,6,0,15,27,13,1,4,6,57,52,3,42,42,1
TMUE_3000011567.1,2328,1468,1162,1603,1355,917,54,1138,124,184,442,139,83,221,202,120,32,130,586,640,175,629,588,169
TMUE_3000011568.1,162,164,1347,117,90,58,93,25,31,30,45,25,5,34,42,17,10,18,76,104,607,128,157,424
TMUE_3000011569.1,164,164,177,96,78,53,32,55,19,6,9,0,7,47,51,17,3,34,111,196,208,131,250,172
TMUE_3000011570.1,81,42,57,48,85,5,2,19,3,8,9,1,0,2,16,2,1,17,257,269,133,257,324,92
TMUE_3000011571.1,69,31,53,23,60,13,0,5,6,0,4,5,0,10,3,0,1,2,26,19,48,31,44,58
TMUE_3000011572.1,808,831,986,650,634,311,80,377,67,66,62,16,49,62,46,24,13,48,247,240,209,192,281,158
TMUE_3000011573.1,57,34,27,23,14,15,0,13,0,11,1,0,16,19,32,2,1,12,40,59,0,44,47,2
TMUE_3000011575.1,0,0,0,4,0,0,7,0,0,1,1,0,5,82,50,17,4,26,19,65,5,41,94,4
TMUE_3000011576.1,153,24,101,78,9,96,11,54,17,0,23,1,35,90,80,52,25,81,513,262,96,190,155,203
TMUE_3000011577.1,2,0,54,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0
