,L1_Unhatched_2,L1_Unhatched_3,L1_Unhatched_4,L1_Unhatched_5,L1_Unhatched_6,L1_Hatched_1,L1_Hatched_2,L1_Hatched_3,L1_3hr_2,L1_3hr_3,L1_3hr_4,L1_3hr_6,L1_24hr_1,L1_24hr_2,L1_24hr_3,L1_24hr_4,L1_24hr_5,L1_24hr_6,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6
TMUE_1000005352.3,407,178,457,142,134,187,0,116,37,86,63,28,59,31,14,0,30,27,0,19,9,0,11,21
TMUE_1000005352.4,240,180,362,235,178,75,5,122,47,52,26,5,15,86,18,9,0,8,83,53,69,55,37,38
TMUE_1000005353.1,32,14,37,20,7,2,2,6,9,0,0,0,0,1,9,0,0,0,4,4,5,0,0,2
TMUE_1000005354.1,396,299,722,451,275,89,38,247,37,31,76,13,31,32,42,7,9,31,139,150,115,76,83,95
TMUE_1000005355.1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TMUE_1000005356.1,58,42,203,30,50,13,5,32,11,11,10,8,3,4,10,5,0,2,50,41,39,28,36,44
TMUE_1000005357.1,11,30,163,51,27,9,7,0,15,3,4,0,0,0,11,2,2,25,3,16,75,20,24,73
TMUE_1000005358.1,41,31,98,24,9,9,5,0,2,10,11,3,1,3,27,4,5,3,11,21,59,33,44,48
TMUE_1000005359.1,25,16,59,8,8,10,0,0,1,9,3,2,5,5,20,6,1,14,9,25,40,18,29,32
TMUE_1000005360.1,337,226,1429,110,130,74,116,10,41,38,24,9,3,49,48,21,10,65,19,21,466,44,65,353
TMUE_1000005361.1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
TMUE_1000005362.1,368,349,942,378,230,60,70,56,30,74,45,24,6,63,47,17,6,41,43,95,331,90,133,267
TMUE_1000005363.1,403,283,331,338,204,199,21,233,74,76,150,32,66,125,92,50,33,119,309,333,122,363,369,139
TMUE_1000005364.1,11,15,878,80,33,4,11,24,7,0,8,4,0,0,13,0,6,2,8,8,59,6,31,40
TMUE_1000005364.2,269,179,54,227,122,79,14,96,0,12,3,5,7,17,32,13,11,18,134,97,189,67,143,199
TMUE_1000005365.1,43,26,144,32,0,41,5,9,15,0,4,0,11,0,8,12,0,0,18,16,24,12,7,49
TMUE_1000005365.2,56,70,152,64,32,19,7,30,0,0,11,5,8,32,2,7,4,16,281,90,176,77,100,220
TMUE_1000005365.3,0,0,0,0,0,0,0,14,17,9,0,0,0,4,38,11,0,0,24,0,0,0,0,0
TMUE_1000005365.4,2,0,23,4,0,0,0,0,0,0,0,0,0,13,0,0,13,0,12,33,34,0,9,15
TMUE_1000005366.1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,0,5,1,1,19
TMUE_1000005367.1,71,93,1310,222,300,29,86,58,93,2,4,12,0,0,4,4,9,5,0,2,246,5,36,203
TMUE_1000005367.2,547,461,167,460,334,135,8,441,4,61,48,13,8,23,33,28,1,23,98,85,20,44,103,7
TMUE_1000005368.1,2,0,5,3,3,3,0,0,0,2,11,0,3,2,3,0,2,5,6,1,0,2,6,0
TMUE_1000005369.1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
TMUE_1000005370.1,43,43,136,87,52,11,6,25,0,3,3,0,0,14,7,4,3,7,137,147,26,59,140,31
TMUE_1000005371.1,24,11,32,12,1,9,1,5,0,6,4,0,0,6,4,0,3,5,3,5,1,7,0,3
TMUE_1000005372.1,147,132,133,101,44,56,6,92,4,36,39,29,11,38,76,47,16,32,185,132,44,96,104,28
TMUE_1000005373.1,167,17,416,0,0,50,0,50,44,0,0,0,0,0,21,12,7,0,0,0,144,21,0,0
TMUE_1000005373.2,75,106,505,143,61,0,63,0,0,10,43,32,0,24,0,6,0,61,91,63,200,19,59,383
TMUE_1000005374.1,13,55,101,66,62,5,16,11,0,6,6,1,0,2,6,2,0,8,17,20,68,15,10,26
TMUE_1000005375.1,1080,1187,555,1291,1621,229,0,318,77,533,0,77,0,70,76,76,77,460,604,77,0,224,611,0
TMUE_1000005375.2,1637,792,2216,723,277,695,104,1149,237,298,979,123,891,2520,2504,903,312,1414,8697,7121,862,4524,6067,1109
TMUE_1000005376.1,1,1,3,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0
TMUE_1000005377.1,12,3,25,7,19,0,0,0,0,1,0,1,0,0,1,0,3,2,5,1,1,4,9,0
TMUE_1000005378.1,131,53,456,95,43,24,37,21,5,33,38,11,0,66,91,16,24,39,5,43,298,71,54,273
TMUE_1000005379.1,45,26,158,73,30,12,9,8,0,33,29,6,2,8,13,2,1,14,74,46,58,47,69,47
TMUE_1000005380.1,1039,1069,789,493,391,386,30,100,14,137,94,7,30,158,219,30,12,121,100,86,82,137,239,58
TMUE_1000005381.1,27,22,42,20,8,9,3,6,1,3,0,0,1,4,4,3,1,5,2,4,11,4,6,6
TMUE_1000005382.1,231,203,465,181,86,54,40,81,4,15,31,16,1,26,8,2,7,23,50,54,91,40,91,101
TMUE_1000005383.1,7668,2754,2856,3108,885,1826,62,395,454,606,443,41,37,109,120,9,18,99,119,133,32,219,414,34
TMUE_1000005384.1,4303,1323,2145,1740,442,1234,105,255,301,330,318,19,63,240,255,38,29,167,92,131,132,221,328,99
TMUE_1000005385.1,7,4,71,6,1,2,1,1,1,0,0,2,0,4,4,0,0,2,1,1,33,6,1,32
TMUE_1000005386.1,138,94,223,98,60,34,14,25,17,37,35,2,16,82,91,20,10,47,187,132,95,81,120,109
TMUE_1000005387.1,1145,1096,796,1030,1031,405,56,749,50,76,172,56,52,140,191,47,49,209,137,443,362,309,406,392
TMUE_1000005388.1,1183,835,699,792,795,334,25,984,157,140,153,47,23,73,48,29,13,39,115,93,24,56,108,17
TMUE_1000005389.1,10,17,207,36,31,11,16,19,4,22,13,1,10,3,8,7,2,5,5,11,22,2,6,22
TMUE_1000005390.1,1345,559,1666,874,363,294,118,239,62,110,158,85,29,137,169,38,40,99,166,159,320,203,214,215
TMUE_1000005391.1,525,363,338,440,262,105,15,360,23,124,190,53,25,262,306,150,40,167,1013,662,52,314,343,97
TMUE_1000005391.3,61,76,680,30,11,0,24,35,12,67,8,0,0,10,36,0,24,32,29,98,152,0,100,159
TMUE_1000005391.4,370,162,355,384,267,161,11,172,7,17,43,25,85,17,117,35,7,77,213,182,23,119,204,45
TMUE_1000005392.1,0,6,50,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
TMUE_1000005392.2,0,0,0,0,23,0,1,1,1,0,0,0,0,0,0,0,0,9,0,2,9,0,0,0
TMUE_1000005393.1,44,35,44,72,13,0,0,15,0,28,0,2,7,25,0,18,0,10,17,91,0,33,39,6
TMUE_1000005393.2,596,232,314,193,128,110,4,26,34,19,30,3,2,138,155,0,12,103,140,113,53,223,450,36
TMUE_1000005394.1,1,0,60,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,2,5,4
TMUE_1000005395.1,766,445,1030,590,512,174,63,401,84,80,138,45,25,60,157,53,11,119,267,224,54,138,255,58
TMUE_1000005396.1,3,0,12,4,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0
TMUE_1000005397.1,255,186,135,396,143,99,9,139,12,62,89,18,33,135,118,65,21,83,491,466,39,329,263,52
TMUE_1000005398.1,15,10,8,24,0,5,2,8,1,0,22,0,0,1,0,4,0,0,141,80,9,188,43,9
TMUE_1000005399.1,1803,402,1148,1470,317,399,29,306,128,84,274,3,188,687,708,218,108,443,13,7,5,2,36,4
TMUE_1000005400.1,15,16,0,8,5,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,1,2,5,0
TMUE_1000005401.1,405,245,220,334,167,132,5,141,62,102,167,11,41,147,151,46,17,94,229,187,44,163,193,32
TMUE_1000005402.1,0,0,33,31,0,0,0,0,23,0,0,0,0,0,0,0,0,0,25,9,4,0,5,0
TMUE_1000005402.2,131,88,65,66,21,48,7,53,0,12,9,10,15,18,12,1,0,9,65,44,8,35,43,9
TMUE_1000005403.1,7,0,12,1,3,0,0,0,0,2,2,0,0,1,5,3,0,0,3,0,1,4,4,0
TMUE_1000005404.1,0,0,39,8,3,0,0,10,12,6,0,0,0,0,0,5,0,1,19,8,7,8,4,4
TMUE_1000005405.1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
TMUE_1000005406.1,1,1,35,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,5,6,11
TMUE_1000005407.1,1554,1151,1687,784,796,569,109,947,166,177,302,86,51,43,171,85,65,71,250,259,154,133,121,161
TMUE_1000005407.2,122,35,102,219,138,11,10,93,0,59,51,0,0,173,0,9,0,55,47,37,21,0,203,0
TMUE_1000005408.1,4,0,28,23,9,0,0,2,0,0,1,0,1,1,0,0,0,4,11,10,14,20,7,21
TMUE_1000005410.1,279,288,550,333,162,78,16,196,88,49,52,4,55,75,83,41,9,53,224,197,174,138,137,138
TMUE_1000005411.1,3899,2044,1906,4524,1779,1775,63,1619,389,287,1089,190,132,315,274,166,70,341,250,399,74,704,353,38
TMUE_1000005412.1,29,7,21,38,7,21,0,27,0,22,42,15,9,31,24,11,10,20,330,377,10,327,158,12
TMUE_1000005413.1,9,0,6,4,1,0,0,0,7,0,1,3,0,0,0,1,0,2,0,0,0,0,0,0
TMUE_1000005414.1,237,145,145,130,72,81,9,76,7,11,21,1,4,34,46,13,13,58,129,133,17,133,169,21
TMUE_1000005415.1,59,62,166,62,24,16,8,14,1,13,10,1,5,40,53,17,8,36,39,47,61,39,43,84
TMUE_1000005416.1,69,9,29,23,10,3,3,1,0,7,4,3,1,29,19,0,0,16,0,0,2,1,5,1
TMUE_1000005417.1,453,413,202,343,272,155,14,159,37,20,43,0,18,99,117,38,11,85,175,253,32,195,350,33
TMUE_1000005418.1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0
TMUE_1000005419.1,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_1000005420.1,1,0,10,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_1000005421.1,23,13,29,26,36,3,0,0,0,2,0,0,0,0,19,0,0,6,3,16,19,13,46,13
TMUE_1000005422.1,9,10,40,9,1,2,0,8,1,0,0,0,0,0,4,2,0,0,2,3,4,2,2,3
TMUE_1000005423.1,1,4,5,0,1,0,0,0,0,2,2,0,0,2,3,5,0,1,5,0,1,0,0,1
TMUE_1000005424.1,173,115,216,135,94,70,42,28,11,6,32,11,61,100,140,22,24,84,123,147,315,344,268,320
TMUE_1000005425.1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,2,4,17,8,7,19,22,4
TMUE_1000005426.1,453,314,232,165,142,100,2,49,9,57,29,6,7,66,97,18,1,38,46,59,35,79,120,41
TMUE_1000005427.1,270,266,793,234,268,60,29,62,30,38,49,1,8,55,68,11,5,62,24,26,68,28,96,46
TMUE_1000005428.1,17,17,30,30,11,8,0,13,1,0,0,0,0,0,5,2,2,3,3,4,0,3,0,4
TMUE_1000005429.1,153,125,138,142,26,51,26,38,33,80,25,22,0,26,77,26,9,85,141,190,37,38,177,47
TMUE_1000005429.2,3,0,36,0,78,0,2,17,0,0,4,0,9,29,28,0,0,0,35,0,6,49,0,0
TMUE_1000005430.1,130,71,99,171,70,49,4,54,5,81,133,50,86,213,204,138,54,176,411,501,21,506,270,45
TMUE_1000005431.1,729,385,463,501,318,201,34,268,94,78,155,29,163,390,386,167,98,331,1564,2150,273,1897,1359,269
TMUE_1000005432.1,0,0,15,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,19,0,0,0
TMUE_1000005432.2,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,7,0,0,0
TMUE_1000005432.3,65,0,45,13,31,3,11,15,4,0,0,0,8,0,0,0,0,0,39,0,0,26,0,0
TMUE_1000005432.4,180,156,0,46,82,40,0,72,34,33,0,0,0,0,13,10,3,7,16,21,0,6,0,32
TMUE_1000005432.5,64,31,73,110,0,0,0,22,0,0,0,0,0,11,0,0,0,0,0,0,0,0,24,0
TMUE_1000005432.6,0,12,25,20,0,0,6,0,1,0,0,0,1,35,0,0,0,0,0,8,0,3,0,0
TMUE_1000005433.1,2,31,29,12,14,1,1,0,2,1,0,0,1,4,3,0,0,2,5,5,39,5,5,9
TMUE_1000005434.1,1159,429,847,820,337,290,9,321,49,85,87,40,48,170,226,75,40,160,1046,763,176,464,578,201
TMUE_1000005434.2,7,0,18,0,0,7,20,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0
TMUE_1000005435.1,1609,728,5556,1027,366,362,283,521,200,213,252,111,189,490,637,250,151,320,1440,1016,3221,1040,893,2365
TMUE_1000005436.1,147,50,386,66,12,44,35,5,15,26,25,2,0,28,37,0,6,32,0,5,68,24,18,61
TMUE_1000005437.1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3
TMUE_1000005438.1,40,48,52,59,28,14,0,44,7,4,13,9,25,0,26,18,0,29,45,37,0,32,22,0
TMUE_1000005439.1,6,4,4,6,5,0,0,5,0,0,2,3,0,3,5,2,0,0,7,7,0,5,4,0
TMUE_1000005440.1,105,172,176,181,290,54,48,208,26,125,108,45,35,142,164,46,24,178,387,479,282,202,374,198
TMUE_1000005442.1,116,28,215,126,8,33,8,17,2,13,16,11,18,69,83,26,3,43,106,80,59,109,147,75
TMUE_1000005443.1,693,202,608,201,91,87,38,6,6,26,17,0,0,14,62,3,0,35,10,24,146,33,79,117
TMUE_1000005444.1,507,373,991,668,227,102,46,339,64,103,144,63,85,113,64,82,48,97,461,268,237,171,176,234
TMUE_1000005445.1,410,279,493,255,221,104,22,219,49,87,37,4,95,218,166,79,59,102,630,408,112,157,356,127
TMUE_1000005446.1,1,4,21,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
TMUE_1000005447.1,14,6,5,3,2,2,2,1,0,3,0,0,0,3,3,0,1,1,1,2,8,7,1,8
TMUE_1000005448.1,344,363,220,255,473,118,3,174,21,39,96,14,21,39,46,18,12,93,43,48,28,59,115,15
TMUE_1000005449.1,742,383,1152,349,268,245,35,119,91,140,116,12,38,83,152,29,23,75,196,147,243,103,224,188
TMUE_1000005450.1,50,48,75,30,17,20,7,26,2,18,5,2,0,8,3,0,3,0,2,13,48,7,14,40
TMUE_1000005451.1,743,503,275,529,296,212,13,192,9,80,133,15,43,187,162,65,22,145,256,328,16,287,341,16
TMUE_1000005452.1,3,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,8,0,0,1
TMUE_1000005453.1,20,11,6,16,2,5,0,2,0,1,7,0,0,4,5,3,0,5,2,2,0,0,7,3
TMUE_1000005454.1,368,225,184,155,62,66,17,15,0,147,57,2,0,105,76,17,0,68,25,35,54,43,73,52
TMUE_1000005455.1,82,87,147,102,131,49,0,100,0,11,2,4,0,0,4,0,5,0,29,23,2,6,8,2
TMUE_1000005455.2,15,2,43,13,0,0,1,0,2,0,7,1,2,14,17,1,6,9,8,5,8,6,17,13
TMUE_1000005456.1,46,44,176,119,22,22,76,44,0,0,65,0,0,0,0,0,9,0,22,0,116,22,44,110
TMUE_1000005456.2,212,130,151,137,53,15,0,29,31,34,0,0,0,34,0,0,13,34,0,0,32,0,0,35
TMUE_1000005456.3,76,13,227,0,27,60,0,36,0,0,22,5,48,0,49,32,0,14,156,128,14,91,79,43
TMUE_1000005457.1,10,3,11,13,4,0,3,0,0,9,5,6,0,5,8,0,0,2,3,1,1,1,0,0
TMUE_1000005458.1,117,63,147,75,55,43,5,98,2,31,81,6,19,17,42,27,11,20,94,41,17,28,15,12
TMUE_1000005459.1,2,3,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
TMUE_1000005460.1,28,32,22,15,22,11,0,8,1,2,2,0,5,18,19,0,2,6,31,36,1,13,24,5
TMUE_1000005461.1,727,783,1039,777,511,140,49,225,61,128,54,0,37,47,75,24,7,92,88,61,86,54,95,133
TMUE_1000005462.1,9,46,0,5,2,2,0,2,0,3,3,0,0,2,1,0,2,0,0,1,0,7,1,0
TMUE_1000005463.1,662,1514,8579,545,472,154,360,246,203,67,74,36,15,59,55,128,44,57,118,127,849,108,84,900
TMUE_1000005464.1,1176,987,1294,920,1100,297,83,350,84,155,209,17,86,180,224,101,39,212,305,283,243,293,524,314
TMUE_1000005465.1,6,4,38,9,8,4,3,5,0,0,0,0,0,0,1,0,0,2,15,7,0,5,2,5
TMUE_1000005466.1,4,5,0,8,1,0,0,1,0,0,5,1,0,2,10,0,0,0,23,19,0,21,13,1
TMUE_1000005467.1,5,7,19,7,7,0,0,4,0,0,1,0,0,9,1,0,3,0,16,3,6,10,15,13
TMUE_1000005468.1,42,41,38,85,23,20,4,18,2,28,30,8,12,27,17,19,10,42,60,68,4,84,61,5
TMUE_1000005469.1,31,21,122,36,37,7,2,10,0,4,7,3,1,0,5,0,1,0,0,0,22,2,1,54
TMUE_1000005470.1,486,480,386,601,683,230,13,544,23,86,98,39,62,101,110,110,13,98,451,435,72,273,315,76
TMUE_1000005471.1,2,1,45,2,1,0,3,2,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,2
TMUE_1000005472.1,81,52,85,81,28,20,6,14,0,7,9,2,9,55,58,10,9,39,44,59,47,43,92,36
TMUE_1000005473.1,42,21,85,28,9,5,5,8,1,9,18,5,2,9,27,13,5,15,23,14,28,13,12,38
TMUE_1000005474.1,6,5,15,3,2,1,1,4,0,0,1,0,0,4,2,1,1,1,6,4,14,3,1,15
TMUE_1000005475.1,2,3,36,13,0,8,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,1,2
TMUE_1000005476.1,22,25,37,19,9,1,3,7,0,0,0,0,0,2,0,0,0,9,21,88,42,52,58,19
TMUE_1000005477.1,20,10,15,13,5,1,2,5,0,0,0,0,0,2,0,0,0,2,7,22,29,5,45,22
TMUE_1000005478.1,19,11,107,14,0,23,6,7,0,3,8,2,0,0,7,0,0,1,1,2,56,10,6,24
TMUE_1000005479.1,30,21,101,33,29,21,3,18,0,0,8,0,13,5,10,5,5,18,32,19,4,11,7,6
TMUE_1000005480.1,0,1,0,0,7,0,1,0,6,0,0,0,2,0,0,1,0,0,1,5,16,8,1,26
TMUE_1000005481.1,80,35,113,93,60,37,1,18,4,11,18,3,2,6,4,6,4,19,71,59,29,23,37,18
TMUE_1000005482.1,240,204,409,213,153,59,15,181,6,12,15,8,53,54,54,34,13,67,414,133,105,101,118,103
TMUE_1000005483.1,0,0,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,0,0
TMUE_1000005484.1,59,65,363,64,52,6,15,3,12,15,13,1,0,9,6,1,17,13,14,11,107,15,21,88
TMUE_1000005485.1,108,110,186,83,30,29,13,7,0,13,20,2,1,46,90,13,17,21,19,69,112,52,135,66
TMUE_1000005486.1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
TMUE_1000005487.1,100,143,106,302,165,45,1,149,9,21,20,9,3,28,15,28,8,19,208,378,50,278,169,96
TMUE_1000005488.1,336,338,235,300,199,109,9,51,2,19,11,0,2,32,47,4,1,25,23,29,22,55,55,7
TMUE_1000005489.1,33,52,37,32,41,13,0,30,0,21,8,0,7,11,14,4,0,3,41,44,3,36,62,14
TMUE_1000005490.1,69,46,215,86,32,19,5,40,9,5,4,1,1,8,7,6,2,3,34,30,50,45,22,46
TMUE_1000005491.1,7,14,36,18,12,0,0,1,1,1,3,0,0,4,2,0,0,1,0,2,1,1,0,1
TMUE_1000005492.1,0,0,8,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,1,5,5,3
TMUE_1000005493.1,96,110,169,0,108,15,12,61,1,4,33,3,2,19,20,29,17,3,352,192,84,65,84,47
TMUE_1000005493.2,25,0,108,129,0,0,0,0,0,0,0,0,0,0,0,0,0,49,69,139,0,42,77,49
TMUE_1000005494.1,78,60,101,69,78,29,5,54,31,38,103,418,96,81,106,87,27,79,40318,28654,13230,16464,16197,17354
TMUE_1000005496.1,1023,523,2861,591,228,340,143,526,118,72,177,49,55,67,98,71,35,63,159,71,146,59,71,123
TMUE_1000005497.1,208,124,692,107,51,63,29,95,18,7,34,7,14,16,12,19,5,20,22,9,26,6,12,21
TMUE_1000005498.1,144,87,295,134,73,33,12,78,44,55,43,12,13,98,95,22,6,42,77,54,37,56,74,33
TMUE_1000005499.1,845,809,1643,291,257,203,78,32,49,42,52,15,4,9,81,18,7,56,43,31,250,79,130,196
TMUE_1000005500.1,13,3,17,8,2,0,0,2,0,0,6,4,0,0,0,2,0,5,1,5,1,3,3,1
TMUE_1000005501.1,16,8,19,7,3,4,0,6,3,1,0,2,3,5,7,1,0,2,40,36,20,27,75,37
TMUE_1000005502.1,35,17,54,25,5,5,4,6,4,3,1,1,7,2,2,0,1,1,2,3,7,9,5,9
TMUE_1000005503.1,485,239,344,213,149,163,31,67,4,45,55,22,35,43,130,22,10,76,119,101,23,80,96,23
TMUE_1000005504.1,937,326,420,244,103,195,19,49,30,54,8,1,15,60,96,0,4,59,8,47,29,42,66,20
TMUE_1000005505.1,38,22,45,9,14,11,2,5,10,0,7,0,0,2,0,0,0,4,5,6,8,3,8,6
TMUE_1000005506.1,3,10,8,15,5,0,0,3,0,0,3,0,0,2,5,0,0,0,4,4,2,4,5,3
TMUE_1000005507.1,26,21,24,14,8,0,1,11,0,2,6,6,212,256,217,140,94,214,4101,2943,270,1624,1120,251
TMUE_1000005508.1,49,9,43,29,9,25,1,7,24,1,9,0,2,11,5,1,0,14,4,13,20,22,21,18
TMUE_1000005509.1,108,94,220,197,119,53,45,65,39,107,222,46,74,140,159,116,36,118,288,439,126,452,284,86
TMUE_1000005510.1,14,11,80,9,4,9,0,5,11,3,0,1,4,0,0,6,1,4,41,13,25,16,15,24
TMUE_1000005511.1,3,1,6,4,6,0,2,5,0,2,0,1,0,2,0,0,0,0,4,9,0,6,13,0
TMUE_1000005512.1,75,51,467,240,145,24,17,24,13,14,26,5,2,9,36,5,12,32,86,61,120,54,55,95
TMUE_1000005513.1,327,211,236,369,265,128,17,131,62,47,83,15,57,116,108,51,30,129,178,318,33,280,261,25
TMUE_1000005514.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
TMUE_1000005515.1,110,72,219,89,18,20,14,13,26,17,21,2,6,39,95,20,20,57,47,51,202,0,298,155
TMUE_1000005515.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,131,80,213,65,93
TMUE_1000005516.1,192,127,302,76,85,60,34,74,2,22,18,32,9,35,23,7,4,34,245,154,90,62,128,77
TMUE_1000005517.1,7,1,7,3,1,1,0,2,0,3,1,0,0,0,0,0,0,0,4,0,0,0,1,3
TMUE_1000005518.1,20,9,0,13,8,4,1,12,0,0,0,2,0,2,1,0,0,3,4,0,2,4,4,0
TMUE_1000005522.1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TMUE_1000005524.1,81,57,77,0,59,40,0,0,14,39,0,8,0,0,19,18,0,0,45,20,58,0,0,78
TMUE_1000005524.2,101,53,189,135,36,0,9,55,0,8,23,0,6,41,52,0,6,72,62,81,81,38,93,9
TMUE_1000005525.1,186,160,251,177,156,63,18,100,27,48,73,2,6,39,82,38,15,42,123,90,40,74,120,35
TMUE_1000005526.1,366,297,402,197,117,52,0,78,7,23,7,0,0,55,46,10,0,43,197,193,74,117,236,74
TMUE_1000005526.2,38,31,15,8,29,0,9,0,0,0,0,4,8,0,0,0,2,0,0,0,34,0,8,34
TMUE_1000005527.1,0,3,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,5
TMUE_1000005528.1,127,83,116,181,72,21,0,67,5,13,23,2,3,19,22,7,3,19,80,64,6,57,70,11
TMUE_1000005529.1,3,0,7,5,2,1,0,2,0,0,3,0,0,4,5,6,0,2,2,7,13,8,22,3
TMUE_1000005530.1,2,0,15,16,6,0,7,0,0,0,0,5,0,6,0,0,0,3,0,0,4,0,3,0
TMUE_1000005532.1,212,95,662,237,137,70,47,47,19,9,46,7,15,24,48,28,14,20,41,61,137,63,74,114
TMUE_1000005532.2,341,97,78,82,4,36,3,68,10,34,57,3,15,77,93,14,14,39,20,80,4,64,96,5
TMUE_1000005532.3,0,16,3,0,0,25,0,0,0,26,11,0,0,13,13,0,0,22,37,18,11,0,0,2
TMUE_1000005533.1,1,0,9,4,3,0,0,0,5,6,1,0,0,2,0,0,0,0,0,0,1,0,1,2
TMUE_1000005533.2,0,0,69,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_1000005534.1,138,68,54,198,31,21,4,42,0,4,25,0,5,45,41,8,7,44,90,124,8,162,76,4
TMUE_1000005535.1,709,504,479,557,344,219,21,347,93,141,223,78,138,469,454,153,75,359,1099,1058,233,742,1204,200
TMUE_1000005537.1,127,83,106,173,304,30,4,95,4,51,28,4,43,92,99,104,12,215,692,1997,253,896,1240,362
TMUE_1000005537.2,5,3,38,32,150,0,0,11,0,33,12,16,0,17,19,10,3,93,77,336,43,107,201,62
TMUE_1000005538.1,2,2,33,13,6,1,3,4,0,0,0,2,0,8,7,6,1,3,15,19,45,6,7,51
TMUE_1000005539.1,0,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
TMUE_1000005540.1,237,191,468,294,108,77,30,123,2,37,50,8,21,66,55,20,11,39,139,111,220,100,110,124
TMUE_1000005540.2,6,50,32,13,32,0,7,2,21,0,0,0,0,0,0,3,0,2,0,5,0,2,3,0
TMUE_1000005541.1,129,44,28,108,19,22,0,74,0,27,35,3,31,84,105,18,7,205,117,222,9,207,493,20
TMUE_1000005541.2,27,62,20,10,5,28,9,5,0,0,17,7,0,19,32,0,7,4,89,26,2,36,4,5
TMUE_1000005541.3,64,104,112,114,233,24,7,37,1,23,9,0,4,29,19,6,10,26,106,160,178,119,163,122
TMUE_1000005541.4,44,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,5
TMUE_1000005541.5,0,11,22,0,0,0,0,0,0,0,0,0,17,156,118,69,0,162,52,115,2,126,203,38
TMUE_1000005542.1,0,22,21,55,8,0,0,0,0,0,0,10,0,0,0,0,0,3,39,33,1,0,14,2
TMUE_1000005542.2,48,80,106,90,93,0,21,19,0,0,0,0,0,9,12,0,0,3,11,9,57,21,39,44
TMUE_1000005542.3,44,21,49,29,16,21,0,7,1,12,12,0,0,15,2,8,1,9,5,22,2,37,33,2
TMUE_1000005543.1,834,440,1238,441,329,164,64,355,73,84,65,28,169,304,491,145,96,280,1089,864,1358,389,992,1031
TMUE_1000005544.1,15,9,36,8,8,1,1,3,0,6,2,0,6,2,4,2,2,0,9,9,12,2,2,12
TMUE_1000005545.1,429,351,440,344,143,178,22,101,21,54,59,0,15,148,117,12,26,95,126,147,65,181,221,96
TMUE_1000005545.2,44,0,7,0,20,0,3,9,0,0,0,2,0,0,12,0,0,0,0,16,24,8,13,5
TMUE_1000005545.4,0,10,0,0,24,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,10,0
TMUE_1000005545.5,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
TMUE_1000005546.1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
