"","L1_Hatched_1","L1_Hatched_2","L1_Hatched_3","L1_Unhatched_2","L1_Unhatched_3","L1_Unhatched_4","L1_Unhatched_5","L1_Unhatched_6","L1_3hr_2","L1_3hr_3","L1_3hr_4","L1_3hr_6","L1_24hr_1","L1_24hr_2","L1_24hr_3","L1_24hr_4","L1_24hr_5","L1_24hr_6","L2_1","L2_2","L2_3","L2_4","L2_5","L2_6"
"TMUE_1000002901.1",0,0,0,1,0,7,2,0,0,1,0,0,0,0,0,0,0,1,39,48,15,43,41,12
"TMUE_1000002902.1",63.6933,11.5735,61.3828,207.27,134.997,223.514,190.635,99.995,24,31.1724,37.9735,3.16298,40.8784,69.1651,133.331,30,16.0492,126.675,231.03,213.485,76.0488,181.15,222.203,96.2072
"TMUE_1000002902.2",22.8957,17.4265,36.7973,149.883,51.7391,96.4857,75.626,44.4523,0,8.82755,25.0265,0,8.55905,29.95,20.7515,0,12.7141,15.3252,110.793,72.1585,59.9512,63.2951,106.697,24.4859
"TMUE_1000002902.3",10.411,0,2.81991,37.8469,6.26402,0,2.73877,2.55269,0,0,0,13.837,12.5625,19.8849,13.9173,0,5.23671,0,9.17713,22.3563,0,9.55524,12.1001,8.30689
"TMUE_1000002903.1",0,0,1,1,0,10,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,1
"TMUE_1000002904.1",33,0,39,130,77,71.4836,106,39,0,18,25,0,8,30,58,27,10,27,114,118,27,139,136,27
"TMUE_1000002905.1",3,0,1,0,3,5.18406,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"TMUE_1000002906.1",0,1.1695,0,3.38719,0,0,2.94348,2.65582,0,0,0,0,0,3.47189,0.597146,7.04174e-08,0,0,6.96532,4.23566,0,0,0,0
"TMUE_1000002907.1",0,0,0,0,0,9.20464,3.73882,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8821,0,0,3.71845
"TMUE_1000002908.1",0,5.13446,0,14.4237,0,13.1856,5.75901,7.60532,0,0,0,0,0,0,0,8.91751,0,0,49.194,12.0649,0,0,0,0
"TMUE_1000002908.2",0,0,0,51.7088,11.788,66.6149,21.3526,0,17.0088,0,0,0,0,0,0,0,4.38341,0,0,0,19.304,0.00675293,0,6.69541
"TMUE_1000002908.3",1.74614e-05,0,0,4.08047e-08,0,26.4071,0,1.02571e-06,0,2.8472e-07,0,1.96993e-06,0,2.42113e-07,8.33554e-07,0,3.63494e-07,0,0.00454289,1.58462e-07,0,0,0,0
"TMUE_1000002908.4",54.7335,7.4824,109.515,146.535,36.2116,37.917,71.8006,13.4756,24.3038,5.82262,58.7321,4.69641,22,1.24367,13.4199,13.8522,5.9604,19.0252,102.161,79.2903,16.4528,30.4842,33.4213,16.4186
"TMUE_1000002908.5",5.26644,40.3831,78.4854,79.3327,158,959.132,102.088,169.919,15.6874,21.1774,12.2679,5.30359,0,31.7563,10.5801,20.2303,25.6562,25.9748,121.641,79.6448,153.243,18.509,30.5787,180.886
"TMUE_1000002909.1",4,19.8305,18,30.7467,23,242,44.0565,18.3442,2.18804,9,16,6,1,12.5281,1.40285,7,17,6,33.0347,20.7643,70,18,10,62
"TMUE_1000002910.1",0,1,3,3,3,21,3,1,0,1,1,0,0,0,0,0,0,0,0,2,4,0,0,4
"TMUE_1000002911.1",2,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"TMUE_1000002912.1",0,0,1,2,4,1,0,3,0,1,0,0,0,0,0,0,0,0,1,1,4,0,0,3
"TMUE_1000002913.1",0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002914.1",17,14,43,73,31,345,86,38.1417,9,13,17,2,32,47,55,29,11,35.8746,101,106,80,38,42,96
"TMUE_1000002915.1",0,0,2,10,3,24,8,10,0,2,0,0,0,0,2,0,0,0,4,1,15,5,7,14
"TMUE_1000002916.1",106,54,150,278,232,816,226,199,16,48,54,15,50,182,192,86,33,105,1303,1012,353,436,713,537
"TMUE_1000002917.1",7,7,12.5766,24.5379,40.9502,55.4138,14,10.6112,0,7,1,5,0,3,5,0,0,0,3.94397,8,9,11,10.8141,7
"TMUE_1000002918.1",23,1,13,45.273,48,45.5853,20,10,0,10,11,6,1,3,2,3,0,9,14,21,5,10,15,5
"TMUE_1000002919.1",0,0,4.42341,9.20852,4.71077,4.58616,1.17003,3.38884,0,0,2,0,0,0,0,0,0,0,4.05603,3,1,1,1.18586,1
"TMUE_1000002920.1",22.682,4.89435,14.0389,59.8373,19.5213,37.8737,72.4867,13.4734,6,0,3.41502,1,5,4.22509,11.4033,0,1,19.0252,15.3518,44.5986,32.8661,30.0596,39.0085,30.1384
"TMUE_1000002921.1",9,52,26.0858,16.9997,19.6014,7.94395,68.0178,148.658,0,4,3,0,4,7,2.87508,1,1,7,36.0204,78.6988,2,57.3957,67.5566,6.8025
"TMUE_1000002922.1",13.159,2.05282,32.9805,45.0813,31.7394,21.5632,69.2196,34.7633,0,2.5,7.29249,1,3.5,11.3875,5.79834,3,0.5,6.48739,10.3241,45.3372,23.5669,33.9702,35.4558,14.4088
"TMUE_1000002923.1",168,14,156,636,562,464,551,319,0,66.0191,85,9,17,101,108,24,19,113,32.3327,125,176,213,293,173
"TMUE_1000002924.1",1,0.0116676,0,2.5,0.430719,5.71704,1.5,2,0,1,0.5,0,0,0,0.293247,0,0,0,1,0.5,0,1,1,0
"TMUE_1000002925.1",3,0,4,5,0,3,10,1,0,0,3,0,0,2,1,5,0,6,3,15,8,19,35,17
"TMUE_1000002926.1",6.06156,2,9,17.7488,31.8267,170.164,26.3904,26.6219,2.16636,0,0,3.16171,2,4,3.35066,2,1.59246,5,5,9.87541,113.347,8.92256,10.0535,83.6003
"TMUE_1000002927.1",0,3,1,4,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002928.1",7,1,9,18,5,11,5,2,1,0,1,0,0,0,0,0,0,1,4,6,3,3,1,3
"TMUE_1000002929.1",8,2,10,42,16,104,20,10,0,1,4,0,0,5,1,3,2,5,5,7,9,8,10,4
"TMUE_1000002930.1",11.2767,3.92406,31.8626,66.2615,50.4793,237.814,61.0742,19.6115,0,9.31969,0,0,4.65335,17.4899,0.654145,9.40325,4.73227,0,4.48045,13.4826,3.64653,16.7196,7.22682,14.6154
"TMUE_1000002930.2",5.1929,2.30133,19.2013,18.3114,48.0716,58.7417,39.5867,25.8543,0,0,3.46788,0,4.79809,1.98126,7.07986,4.89,0,3.1953,3.22866,4.27418,2.29917,3.88899,7.41603,3.64884
"TMUE_1000002930.3",88.9725,2.35818,36.3461,283.111,87.6443,51.4987,289.03,51.749,6,12.7724,5.37584,6,35.5486,59.8586,58.1099,22.7067,7.26773,78.8047,105.801,78.7628,0,102.85,62.8839,11.0349
"TMUE_1000002930.4",29.7728,10.4164,29.59,132.316,10.8048,60.9453,138.309,18.7851,0,8.90788,42.1563,0,0,26.6701,2.40987,0,0,0,16.4895,32.1531,11.0543,16.5416,38.4733,3.70079
"TMUE_1000002930.5",11.7851,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74623,0,0,0,0,11.3274,0,0,0,0
"TMUE_1000002931.1",19,0,17,63,49,39,110,22,5,7,8,1,6,44,34,10,3,22,88,127,4,119,58,4
"TMUE_1000002932.1",0,0,0,0.298981,0,2.24523,0,0,0,0,0,0,0,0,2.22515,0,0,0,0,4.40672,0,2.46928,3.09698,0
"TMUE_1000002933.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002933.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002933.3",0,0,0,3,9,15,3,0,1,0,0,0,0,0,0,0,0,0,23,74,70,21,12,43
"TMUE_1000002934.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002935.1",0,1,0,2,0,2,17,15,15,1,9,0,0,0,0,9,0,0,49,14,14,26,8,7
"TMUE_1000002936.1",15.8556,2,17.3987,109.991,268.361,38.1688,109.778,208.841,2.26789,15.4156,19.7003,4,1.22756,18.5558,31.0088,6,3,35.9238,1,39.0944,51.0898,27.4605,110.346,22.8484
"TMUE_1000002937.1",0,0,0,9.86084,0,4.33159,17.0672,1.22308,0,0,19.8639,0,0,0,8.16455,0,0,2.67048,16.1465,0,0,5.99724,11.2184,0
"TMUE_1000002938.1",0,0,3,3.07551,0,9,2,1,0,0,0,0,0,2,1,0,0,3.71115,0,3,35,9,5,8.87663
"TMUE_1000002939.1",11.8102,6.21975,60.1253,106.43,74.2793,69.17,81.6761,69.6934,1.31451,13.6708,41.474,2.59185e-06,2.42382,18.9965,11.7073,8.49266,4.0883,22.9438,126.317,85.6529,50.864,71.9997,62.5151,21.469
"TMUE_1000002940.1",9,6,55.635,86.5515,50.3267,135.97,102.613,22.0595,12,9,7,0,0,22,16,13.6112,2,14,92,57,43,18.0598,71,24.376
"TMUE_1000002941.1",7,9,27,19,26,210,20,17,9,3,3,1,6,4,1,4,8,5,12,5,9,1,12,22
"TMUE_1000002942.1",8,1,3,30,17,23,26,1,0,0,0,0,0,9,5,0,0,6,3,28,9,102,95,23
"TMUE_1000002943.1",0,0,3,7,15,14,28,4,0,0,0,0,0,0,10,0,2,2,35,64,3,46,44,13
"TMUE_1000002944.1",18.2881,7,28,77.4834,62,94.2056,107,37,5,2,9.07167,1,11.3302,29.5104,21.7202,9.19317,6.19534,38.2012,358.265,125.723,77,141.967,135.744,65
"TMUE_1000002944.2",33.7119,0,0,9.51656,0,14.7944,0,0,0,0,11.9283,0,79.6698,9.48961,31.2798,16.8068,16.8047,23.7988,373.735,235.277,0,20.0326,114.256,0
"TMUE_1000002945.1",1,0,2,4,3,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2,1,0
"TMUE_1000002946.1",558,22,1014,1237,951,565,1341,777,56,110,315,80,97,166,109,133,23,120,531,460,19,426,296,27
"TMUE_1000002947.1",0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,2,2,0,2,1,0
"TMUE_1000002948.1",4,0,1,0,5,5,4,1,0,0,5,10,43,88,64,55,13,54,7601,4744,158,2898,1611,220
"TMUE_1000002949.1",12,2,3,50,27,39,36,16,6,0,1,1,0,17,18,8,0,9,18,7,6,15,5,3
"TMUE_1000002950.1",5,0,4,28,20,92,27,18,22,0,13,0,5,8,24,5,3,5,21,18,11,14,33,9
"TMUE_1000002951.1",0,0,0,3.17934,0,0,1,0.0910171,0,1,1,2.52251,0,5.01866,2.01483,1,0,0,0,0,0,0,2.19757,0
"TMUE_1000002952.1",0,10,8,70,15,145,22,19,7,1,11,2,0,3,18,0,5,3,14,16,12,14,15,12
"TMUE_1000002953.1",0,42,113.991,184.935,159.993,642.404,107.999,115,44,28.7621,50.8943,0,0,28.7359,69,45.98,0,49,143.376,132,228.29,56.7428,57.5903,202
"TMUE_1000002953.2",20,0,0.00893245,0.736951,0.00652641,14.476,0.000709918,0,0,17.2379,0.105686,5,52,13.8617,0,0,14,0,49.0358,0,0,27.2572,61.4097,0
"TMUE_1000002953.3",0,0,0,3.32818,0,38.1202,0,0,0,0,0,0,0,3.40234,0,3.02005,0,0,13.5883,0,7.71035,0,0,0
"TMUE_1000002954.1",0,0.184253,4.96794,2.24789,3.68767,59.7089,1.93005,0,0,0,2.37666,2.56609,9.43639,2.97399,0,0.413987,5.36045,0,9.5418,4.20686,28.4147,0,8.53363,21.0456
"TMUE_1000002955.1",21.2101,3.86505,48.215,104.669,92.0189,311.288,62.7348,50.4512,21.3897,35,17.6233,11.4339,12.2548,47.9485,75.5589,21.586,7.63955,45.6463,180.315,110.777,115.193,66.4702,44.969,116.402
"TMUE_1000002955.2",0,3.9507,22.8171,79.3652,37.6058,153.003,58.8204,38.5587,0,0,0,0,41.3088,20.0775,4.44115,0,0,11.3839,32.143,20.0159,40.3926,18.5298,29.4974,9.55257
"TMUE_1000002956.1",10,0,43,48,116,31,44,35,10,0,2,3,0,0,0,0,0,3,1,1,0,1,0,0
"TMUE_1000002957.1",85,1,87,212,74,114,117,79,12,6,14,6,22,46,45,20,11,28,110,113,41,95,84,26
"TMUE_1000002958.1",52,2,59,159,53,40,130,44,6,0,32,0,9,24,17,5,8,18,57,82,1,82,38,3
"TMUE_1000002959.1",1,0,1,0,2,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0
"TMUE_1000002960.1",0,1,1,5,0,26,0,0,1,1,0,0,0,0,0,1,0,0,0,0,6,0,0,9
"TMUE_1000002961.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TMUE_1000002962.1",3,10,1,8.43589,39.8667,61.5027,7.72473,21.8814,6,2,3,1,0,1,0,0,0,1,7.96385,6.25157,25.2078,8.52787,6.00791,18.3
"TMUE_1000002963.1",0,0,21,40,16.0545,213.443,0,9.93043,0,5,0,0,0,0,30,16.0908,0,7.46735,71.1691,43.0366,80,6.33212,63,79
"TMUE_1000002963.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53265,13.0489,0,0,0,0,0
"TMUE_1000002963.3",3,10,0,6.86695e-06,9.94548,89.5574,57,39.0696,0,0,3,11,7,4,0,4.90918,7,0,27.7819,51.9634,0,19.6679,0,9.37836e-06
"TMUE_1000002964.1",1,2,1,7,3,3,13,4,0,2,12,0,0,3,5,0,2,0,17,10,1,39,16,5
"TMUE_1000002965.1",46,3,30,212,87,73,73,40,1,9,16,9,14,12,36,7,5,29,54,49,23,39,48,24
"TMUE_1000002966.1",143,24,240,529,245,685,360,154,63,74,117,40,74,102,99,124,59,126,444,321,363,286,190,494
"TMUE_1000002967.1",7,0,7,26,18,13,16,3,0,0,1,0,0,0,0,0,0,0,10,7,0,11,23,1
"TMUE_1000002968.1",59,3,84,126,73,123,107,78,7,33,48,8,20,52,40,22,11,60,215,159,38,82,183,37
"TMUE_1000002969.1",0,0,7,12,4,8,19,7,0,0,0,0,8,0,7,2,0,2,18,4,8,9,12,4
"TMUE_1000002970.1",1,0,7,5,13,22,5,5,3,2,3,0,3,4,2,0,1,1,3,2,1,3,0,0
"TMUE_1000002971.1",31,18,149,144,100,423,153,129,9,58,31,13,34,67,98,88,38,23,443,251,162,110,182,264
"TMUE_1000002972.1",1,3,24,33,46,203,20,14,9,2,6,1,0,3,4,1,4,7,36,34,14,16,9,13
"TMUE_1000002973.1",3,0,6,31,12,40,17,6,0,11,3,0,0,3,5,0,0,11,2,0,1,4,1,3
"TMUE_1000002974.1",27,0,19,95,28,68,40,32,0,19,5,0,6,20,12,4,2,11,13,9,3,10,12,1
"TMUE_1000002975.1",0,0,0,1,2,2,3,3,0,0,0,4,0,0,0,0,2,0,136,92,40,41,36,35
"TMUE_1000002976.1",0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
"TMUE_1000002977.1",0,1,0,2,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4
"TMUE_1000002978.1",9.52991,1,9.28579,72.0243,27.3799,62.538,82.4971,50.0173,5,16.3053,16.8963,1.2222,1.45291,14.7187,11.1827,7.68851,5,11.1163,51.1324,75.8626,16.1175,78.1841,39.9145,15.9555
"TMUE_1000002979.1",6.27729,4,13.0847,14.1726,8.53319,30.7858,31.8995,8.61788,4,3,15.2078,4,2,0,0,8.8433,1,0,45.4735,53.9577,21.1057,49.7879,67.4948,0
"TMUE_1000002979.2",0,0,0,0,0,61.0999,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4183,0,0,15.2921,32.9779
"TMUE_1000002980.1",3,0,2,1,1,28.2625,7.80919,4.367,4,0,1,0,0,0,0,0,0,0,0,0,14.1222,0,2.18255,11.2035
"TMUE_1000002981.1",5,20,17,30,37,67,49,62,0,2,4,1,0,13,16,4,1,6,27,71,122,64,53,43
"TMUE_1000002982.1",0,0,0,7.44887,2.75674,32.1757,3.41678,2.93487,1,0,3.36175,0,2,0,1,0,0,0,3.06739,0,0,0,0,4.74902
"TMUE_1000002983.1",0,0,0,0,0,6.37278,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002984.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002985.1",4,0,2,8,9,3,3,1,0,0,3,0,0,1,2,0,0,1,2,6,0,3,1,3
"TMUE_1000002986.1",0,0,0,0,0,2.2797,1.3576,1.01452,0,0,0,0,0,2.43794,0,1.1567,1,0,5.94918,13.1232,2.65699,6.9715,26.932,2.61012
"TMUE_1000002987.1",0,0,0,1,0,6.05118,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
"TMUE_1000002988.1",17.5704,17.6674,37.4187,65.7654,49.6814,212.892,60.5228,35.924,6.52193,30.7045,42,10,52,72.7536,71.4991,52.5248,29,56.2993,338.615,202.816,170.778,112.43,174.854,168.622
"TMUE_1000002989.1",13,0,1,38,19,13,16,7,0,0,2,2,0,7,2,17,1,6,31,35,5,42,24,3
"TMUE_1000002990.1",3,3,0,6,2,10,3,0,0,0,0,0,0,8,0,3,0,3,0,5,8,5,13,3
"TMUE_1000002991.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002992.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000002993.1",0,3,0,7,3,63,17,0,0,0,3,0,1,0,1,5,1,0,3,1,12,0,1,7
"TMUE_1000002994.1",5.65468,0,1.43147,17.2087,22.4345,46,18.6419,11.8537,1,5.78557,10.0396,0,1.44136,10.0928,18.7925,0,5,8.76865,0,0,51,1.41206,8.69579,40.7045
"TMUE_1000002995.1",3,1,0,9,13,30,6,3,0,0,0,2,1,1,1,2,1,0,1,6,9,5,5,3
"TMUE_1000002996.1",3.06037,1,1,14,9,149.788,47,25,0,3,11,0,0,7,41,7,2,20,19,8,17,15,21,23
"TMUE_1000002997.1",1,0,1,1,2,5,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,2,3,6
"TMUE_1000002998.1",0,0,0,4,0,2,2,0,0,0,6,0,0,5,1,0,0,0,1,1,0,1,3,0
"TMUE_1000002999.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003000.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003001.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003002.1",9,22,2,33,268,57,17,54,1,10,1,0,0,10,7,2,0,44,9,10,168,20,77,112
"TMUE_1000003003.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TMUE_1000003004.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
"TMUE_1000003005.1",2.10515,2.2661,2.13905,13.1334,7.46333,140.512,11.426,45.7147,0,0,5,2,0,4,3.0844,4.02122,1.09326,2.11024,2.35518,5.52108,25.5273,9.03334,0,21.5096
"TMUE_1000003006.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"TMUE_1000003007.1",12.4093,1.35078,7.23247,46.5252,22.9186,9.03473,21.1496,16.6605,1.23724,7.26486,1.42949,0,0,0,1.50232,0,0,5.53303,0,3.24535,0,4.32789,7.87056,1.46522
"TMUE_1000003008.1",0,0,0,4.59135,0,3.48229,5.64403,1,0,0,0,0,0,0,0,0,0,0,0,1.52582,0,0,0,0
"TMUE_1000003009.1",258,26,1069,757,912,795,562,517,23,150,105,40,47,106,130,63,12,86,317,184,80,143,162,97
"TMUE_1000003010.1",243,16,568,1119,610,465,591,394,101,111,104,25,66,171,182,75,35,149,951,544,61,330,527,57
"TMUE_1000003011.1",38,5,19,174,74,52,187,25,6,2,0,0,15,20,37,3,2,15,37,37,10,45,59,8
"TMUE_1000003012.1",10,0,8,39,13,36,52,9,9,1,3,0,3,9,4,3,1,4,4,4,5,6,5,3
"TMUE_1000003013.1",0,0,0,0,1.90734,7.60631,4.30718,0,0,1.15004,0,0,0,0,2.26593,0,0,1,0,0,2,3,0,3.2189
"TMUE_1000003014.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003015.1",0,0,0,0,0,0,0,0,0,0,0,0,2.5637,0.000689499,0,0,0,0,0,0,0,0,0,1.04564
"TMUE_1000003016.1",37,1,36,34,64,34,76,29,0,0,0,8,21.4363,14.9993,32,5,4,4,164,97,10,27,56,6
"TMUE_1000003017.1",0,0,3,6,6,13,8,6,0,0,1,0,0,0,0,0,0,0,24,6,3,10,8,5
"TMUE_1000003018.1",0,0,0,0,0,7.41447,1.15572,1.10414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003019.1",0,0,1.002,0,1.24039,3.11206,5.53146,1.00166,0,0,0,0,0,2,1,0,0,0,0,1.00298,0,1.00247,0,2.01618
"TMUE_1000003020.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003021.1",0,0,4.00718,11.0243,6.87099,51.4273,26.0442,8.01193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.02456,1.00727
"TMUE_1000003022.1",4,0,3,37,15,19,25,9,0,5,5,0,3,0,4,0,0,6,8,17,2,8,10,0
"TMUE_1000003023.1",342,94,300,1154,643,1855.54,573.488,327.441,103,181.543,103,30.5105,31.6564,128.89,243.971,76,52.5802,114.587,424,287,302.642,139,294,284.868
"TMUE_1000003024.1",4,4,8,43,9,13,112,11,0,12,9,1,16,23,16,8,2,23,149,156,20,149,136,28
"TMUE_1000003025.1",30,2,27,26,15,46,38,16,12,12,22,6,39,45,61,49,8,56,372,290,30,175,278,21
"TMUE_1000003026.1",2,5.31634,3.4538,27.8694,3.47255,203.932,21.023,83.6379,0,42.4247,6.8993,0,3,7.04051,38.0864,1,3.31622,9.36884,28.3559,27.6762,46.9781,13.5503,25.6289,61.1203
"TMUE_1000003026.2",0,0,9.16888,0,8.71094,0,0,0,2,1.73963e-08,11.9984,2.22689,0,0,0,0,0,0,25.5375,0,0,0,3.97099,0
"TMUE_1000003027.1",0,0,0,0,0,4.33248,0,0,0,2.19213,0,0,0,0,1.39005,0,0,0,2.31121,0,0,0,0.660152,0
"TMUE_1000003028.1",0,0,3.37732,0,0,13.0729,0,0,0,0,1.1023,0,0,0,2.52358,0,0,0,2.54146,0,0,0.506676,0,0
"TMUE_1000003029.1",0,0,0,1.19325,0.838963,0,0,0,0,0,0,0,0,3.03476,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003030.1",0,0,0,0,0,0,0,0,0,5.57091e-05,0,0.773115,0,0,0,0,0,0,0,0.972807,0,1.06989,0,0
"TMUE_1000003031.1",4,6,0,30,0,66,52,8,0,0,4,0,2,6,17,1,1,5,2,13,9,11,5,18
"TMUE_1000003032.1",15,1,9,23,11,44,21,16,3,8,5,17,11,8,20,1,1,6,21,31,13,42,47,17
"TMUE_1000003033.1",85,5,140,179,152,169,155,89,15,24,27,1,9,17,9,8,4,23,159,90,24,63,47,37
"TMUE_1000003034.1",39,7,53,162,117,200,161,77,0,27,53,3,20,46,95,23,7,30,153,118,47,55,69,43
"TMUE_1000003035.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TMUE_1000003036.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003037.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003038.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003039.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003040.1",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003041.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003042.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMUE_1000003043.1",111,14,150,193,79,186,79,75,38,58,141,34,9,8,10,18,6,11,2,2,7,5,29,8
"TMUE_1000003044.1",17,9,11,35,10,163,16,15,13,16,47,5,0,9,15,24,10,20,2,2,14,5,6,34
"TMUE_1000003045.1",57,3,117,264,180,244,235,81,36,23,49,2,46,39,71,11,10,33,204,135,14,92,124,20
"TMUE_1000003046.1",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,7,6,1,11,5
"TMUE_1000003047.1",1,4.4666,4,4,6.28903,95.737,10.501,4.73458,3,0,0,0,0,1.31475,1,2.12225,0,0,9.85556,11.0189,69.7547,10,40.5393,47.6214
"TMUE_1000003048.1",9,0,11,23,5,12,44,3,2,2,10,1,13,41,28,12,7,25,311,209,26,228,100,28
"TMUE_1000003049.1",0,0,0,17,2,56.2675,19.2459,5,0,0,0,0,0,7.64095,0,0,1,0,1,1,7.63197,3,11,7
"TMUE_1000003050.1",0,1,0,1,0,11.4804,10.5283,2.19455,0,0,1,0,0,1,0,0,0,0,4,1.3555,3.36107,0,2,5.33532
"TMUE_1000003051.1",0,1,4,35,10,43,19,0,39,11,8,0,0,0,15,3,0,10,1,0,0,5,0,4
"TMUE_1000003052.1",121,15,194.048,291,155.487,440.378,451,244,26,103,225,111,155,288,244.481,232.338,64,204.303,1321.91,1426.34,876.162,1156.94,849.135,981.268
"TMUE_1000003052.2",0,0,15.9524,0,29.5129,8.62218,0,0,0,0,0,0,0,0,7.51882,10.6623,0,31.6974,19.09,25.6554,22.8377,16.0629,10.8648,7.73189
"TMUE_1000003053.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.625635,0,0,0,0,0,0,0
"TMUE_1000003054.1",5.64296,0,7.39194,10.1631,14.2591,69.3143,8.00475,3.6511,3.17141,0,4.76369,2.462,4.7727,17.442,10.2126,7.52172,3.14105,6.79933,33.7099,37.0334,95.1922,46.0388,23.6173,174.789
"TMUE_1000003055.1",2,0,4,5,5,17,12,3,0,5,4,3,2,9,10,3,4,17,1461,765,73,807,400,57
"TMUE_1000003056.1",0,0,4,5,0,1,1,2,0,0,0,0,0,0,0,0,0,0,6,2,2,3,1,0
"TMUE_1000003057.1",129,4,208,451.891,278,144,388,117.936,22,10,76,13,22,74,67,20,14,35.8874,263,266,26,275,201,35
"TMUE_1000003058.1",238,106,357,556,414,1950,519,317,90,82,120,38,28,78,80,65,38,63,436,328,595,169,248,624
"TMUE_1000003059.1",7,0,0,11.8295,7.60435,6.85631,0,5.4731,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99514,0,8.38941
"TMUE_1000003059.2",0,1,11,48.1705,12.3957,41.1437,24,12.5269,0,0,7,1,7,3,5,1,0,1,18,19,6,14.0049,9,4.61059
"TMUE_1000003060.1",1,0,5,5,4,6,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TMUE_1000003061.1",0,0,4,4,9,24,7,7,0,0,0,0,0,0,0,0,1,2,0,0,2,1,6,0
"TMUE_1000003062.1",58,22,94,153,117,331,95,81,0,17,17,13,5,25,15,24,6,9,151,88,70,77,86,44
